vb_code;ff_code;treatment_code;litter_sp;mesh_size;litter_mass_loss_final;notes
VB008;FF225;L3;Chestnut;Coarse;0,285373589;
VB009;FF226;S1;Alder;Fine;0,384899323;
VB009;FF227;S2;Hazel;Fine;0,461632929;
VB009;FF228;S3;Chestnut;Fine;0,223223814;
VB009;FF229;M1;Alder;Medium;0,693903536;
VB009;FF230;M2;Hazel;Medium;0,940662221;
VB009;FF231;M3;Chestnut;Medium;0,293745501;
VB009;FF232;L1;Alder;Coarse;1;weight after <0.01
VB009;FF233;L2;Hazel;Coarse;0,909970267;
VB009;FF234;L3;Chestnut;Coarse;0,212106336;
VB010;FF235;S1;Alder;Fine;0,548180593;
VB010;FF236;S2;Hazel;Fine;0,388073181;
VB010;FF237;S3;Chestnut;Fine;0,179771472;
VB010;FF238;M1;Alder;Medium;0,536996945;
VB010;FF239;M2;Hazel;Medium;0,752418233;
VB010;FF240;M3;Chestnut;Medium;0,240245395;
VB010;FF241;L1;Alder;Coarse;1;weight after <0.01
VB010;FF242;L2;Hazel;Coarse;1;weight after <0.01
VB010;FF243;L3;Chestnut;Coarse;0,287461783;
VB043;FF253;S1;Alder;Fine;0,507213123;
VB043;FF254;S2;Hazel;Fine;0,637413674;
VB043;FF255;S3;Chestnut;Fine;0,276067415;
VB043;FF256;M1;Alder;Medium;0,454904205;
VB043;FF257;M2;Hazel;Medium;0,354681982;
VB043;FF258;M3;Chestnut;Medium;0,222039704;
VB043;FF259;L1;Alder;Coarse;0,502700422;
VB043;FF260;L2;Hazel;Coarse;0,732682977;
VB043;FF261;L3;Chestnut;Coarse;0,174274526;
VB044;FF262;S1;Alder;Fine;0,501209269;
VB044;FF263;S2;Hazel;Fine;0,527398222;
VB044;FF264;S3;Chestnut;Fine;0,226047461;
VB044;FF265;M1;Alder;Medium;0,52964769;
VB044;FF266;M2;Hazel;Medium;0,617175621;
VB044;FF267;M3;Chestnut;Medium;0,240805274;
VB044;FF268;L1;Alder;Coarse;0,859314264;
VB044;FF269;L2;Hazel;Coarse;0,824032794;
VB044;FF270;L3;Chestnut;Coarse;0,282491637;
VB045;FF271;S1;Alder;Fine;0,451915187;
VB045;FF272;S2;Hazel;Fine;0,463165813;
VB045;FF273;S3;Chestnut;Fine;0,253388101;
VB045;FF274;M1;Alder;Medium;0,446682769;
VB045;FF275;M2;Hazel;Medium;0,419197388;
VB045;FF276;M3;Chestnut;Medium;0,216284029;
VB045;FF277;L1;Alder;Coarse;0,621940658;
VB045;FF278;L2;Hazel;Coarse;0,395368496;
VB045;FF279;L3;Chestnut;Coarse;0,242681622;
VB046;FF280;S1;Alder;Fine;0,362876138;
VB046;FF281;S2;Hazel;Fine;0,481007574;
VB046;FF282;S3;Chestnut;Fine;0,193419226;
VB046;FF283;M1;Alder;Medium;0,101172266;
VB046;FF284;M2;Hazel;Medium;0,458628024;
VB046;FF285;M3;Chestnut;Medium;0,236457985;
VB046;FF286;L1;Alder;Coarse;0,124503314;
VB046;FF287;L2;Hazel;Coarse;0,488467424;
VB046;FF288;L3;Chestnut;Coarse;0,276268946;
VB049;FF289;S1;Alder;Fine;0,462881578;
VB049;FF290;S2;Hazel;Fine;0,515156081;
VB049;FF291;S3;Chestnut;Fine;0,328934821;
VB049;FF292;M1;Alder;Medium;0,649579008;
VB049;FF293;M2;Hazel;Medium;0,512765222;
VB049;FF294;M3;Chestnut;Medium;0,273073179;
VB049;FF295;L1;Alder;Coarse;1;weight after <0.01
VB049;FF296;L2;Hazel;Coarse;0,827884333;
VB049;FF297;L3;Chestnut;Coarse;0,238754352;
